Group	Country	Rank	Jersey	Position	Age	Selections	Club	Player	Captain		
C	Greece	12	15	Defender	28	66	Roma   	Vasilis Torosidis	0		
C	Greece	12	6	Midfielder	29	49	Kayserispor   	Alexandros Tziolis	0		
C	Greece	12	22	Midfielder	24	4	Olympiacos   	Andreas Samaris	0		
C	Greece	12	18	Midfielder	23	19	Genoa   	Giannis Fetfatzidis	0		
C	Greece	12	10	Midfielder	37	135	Fulham   	Giorgos Karagounis 	1		
C	Greece	12	21	Midfielder	34	111	PAOK   	Kostas Katsouranis	0		
C	Greece	12	16	Midfielder	27	19	Bologna   	Lazaros Christodoulopoulos	0		
C	Greece	12	8	Midfielder	26	16	Bologna   	Panagiotis Kone	0		
C	Greece	12	23	Midfielder	23	6	Torino   	Panagiotis Tachtsidis	0		
C	Greece	12	14	Forward	32	76	PAOK   	Dimitris Salpingidis	0		
C	Greece	12	7	Forward	29	74	Celtic   	Giorgos Samaras	0		
C	Greece	12	9	Forward	26	32	Fulham   	Kostas Mitroglou	0		
C	Greece	12	17	Forward	34	72	Konyaspor   	Theofanis Gekas	0		
C	Japan	46	1	Goalie	31	56	Standard Liege  	Eiji Kawashima	0		
C	Japan	46	23	Goalie	25	2	F.C. Tokyo  	Shūichi Gonda	0		
C	Japan	46	12	Goalie	27	12	Urawa Red Diamonds 	Shusaku Nishikawa	0		
C	Japan	46	2	Defender	26	67	Schalke 4  	Atsuto Uchida	0		
C	Japan	46	3	Defender	23	12	VfB Stuttgart  	Gōtoku Sakai	0		
C	Japan	46	21	Defender	24	17	Hannover 96  	Hiroki Sakai	0		
C	Japan	46	19	Defender	30	21	Jubilo Iwata  	Masahiko Inoha	0		
C	Japan	46	6	Defender	27	9	F.C. Tokyo  	Masato Morishige	0		
C	Japan	46	22	Defender	25	40	Southampton   	Maya Yoshida	0		
C	Japan	46	15	Defender	31	80	Gamba Osaka  	Yasuyuki Konno	0		
C	Japan	46	5	Defender	27	69	Internazionale   	Yuto Nagatomo	0		
C	Japan	46	8	Midfielder	24	25	1. FC Nürnberg 	Hiroshi Kiyotake	0		
C	Japan	46	16	Midfielder	23	11	Cerezo Osaka  	Hotaru Yamaguchi	0		
C	Japan	46	4	Midfielder	27	55	Milan   	Keisuke Honda	0		
C	Japan	46	17	Midfielder	30	78	1. FC Nürnberg 	Makoto Hasebe 	1		
C	Japan	46	10	Midfielder	25	56	Manchester United  	Shinji Kagawa	0		
C	Japan	46	14	Midfielder	28	5	Sanfrecce Hiroshima  	Toshihiro Aoyama	0		
C	Japan	46	7	Midfielder	34	143	Gamba Osaka  	Yasuhito Endō	0		
C	Japan	46	20	Forward	24	4	Yokohama F. Marinos 	Manabu Saitō	0		
C	Japan	46	9	Forward	28	75	Mainz 5  	Shinji Okazaki	0		
C	Japan	46	11	Forward	24	11	Cerezo Osaka  	Yoichiro Kakitani	0		
C	Japan	46	13	Forward	31	56	Kawasaki Frontale  	Yoshito Ōkubo	0		
C	Japan	46	18	Forward	24	8	1860 München  	Yuya Osako	0		
D	England	10	13	Goalie	31	6	West Bromwich Albion 	Ben Foster	0		
D	England	10	22	Goalie	26	1	Celtic   	Fraser Forster	0		
D	England	10	1	Goalie	27	40	Manchester City  	Joe Hart	0		
D	England	10	12	Defender	24	11	Manchester United  	Chris Smalling	0		
D	England	10	5	Defender	28	23	Chelsea   	Gary Cahill	0		
D	England	10	2	Defender	29	51	Liverpool   	Glen Johnson	0		
D	England	10	3	Defender	29	23	Everton   	Leighton Baines	0		
D	England	10	23	Defender	18	1	Southampton   	Luke Shaw	0		
D	England	10	6	Defender	31	25	Everton   	Phil Jagielka	0		
D	England	10	16	Defender	22	9	Manchester United  	Phil Jones	0		
D	England	10	20	Midfielder	26	4	Southampton   	Adam Lallana	0		
D	England	10	15	Midfielder	20	14	Arsenal   	Alex Oxlade-Chamberlain	0		
D	England	10	8	Midfielder	35	103	Chelsea   	Frank Lampard	0		
D	England	10	7	Midfielder	22	16	Arsenal   	Jack Wilshere	0		
D	England	10	17	Midfielder	28	46	Manchester City  	James Milner	0		
D	England	10	14	Midfielder	23	9	Liverpool   	Jordan Henderson	0		
D	England	10	19	Midfielder	19	3	Liverpool   	Raheem Sterling	0		
D	England	10	21	Midfielder	20	4	Everton   	Ross Barkley	0		
D	England	10	4	Midfielder	34	110	Liverpool   	Steven Gerrard 	1		
D	England	10	9	Forward	24	11	Liverpool   	Daniel Sturridge	0		
D	England	10	11	Forward	23	22	Manchester United  	Danny Welbeck	0		
D	England	10	18	Forward	32	4	Southampton   	Rickie Lambert	0		
D	England	10	10	Forward	28	90	Manchester United  	Wayne Rooney	0		
D	Costa Rica	28	23	Goalie	28	2	Herediano   	Daniel Cambronero	0		
D	Costa Rica	28	1	Goalie	27	53	Levante   	Keylor Navas	0		
D	Costa Rica	28	18	Goalie	32	21	Alajuelense   	Patrick Pemberton	0		
D	Costa Rica	28	16	Defender	24	24	Rosenborg   	Cristian Gamboa	0		
D	Costa Rica	28	3	Defender	26	34	Columbus Crew  	Giancarlo Gonzalez	0		
D	Costa Rica	28	8	Defender	29	22	Saprissa   	Heiner Mora	0		
D	Costa Rica	28	2	Defender	30	27	Alajuelense   	Johnny Acosta	0		
D	Costa Rica	28	15	Defender	30	58	Mainz 5  	Junior Diaz	0		
D	Costa Rica	28	4	Defender	31	79	Saprissa   	Michael Umana	0		
D	Costa Rica	28	6	Defender	25	11	Club Brugge  	Oscar Duarte	0		
D	Costa Rica	28	19	Defender	29	47	New York Red Bulls	Roy Miller	0		
D	Costa Rica	28	12	Defender	23	1	Columbus Crew  	Waylon Francis	0		
D	Costa Rica	28	5	Midfielder	26	63	AIK   	Celso Borges	0		
